"",Name,Artist,Album,Popularity,Lyrics,Sentiment
444,You Proof,Morgan Wallen,You Proof,80,"14 contributorsy proof lyric [ vers 1 ] yeah , i 've been throwin ' down the whiskey i ought to get my money back someon said it drown the memori aw , but it ai n't doin ' jack yeah , i 've been s...",Feeling : Positive
653,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),38,141 contributorstranslationsespañoltürkçedeutschfrançaisal i want for christma is you lyric [ intro ] i do n't want a lot for christma there is just one thing i need i do n't care about the presen...,Feeling : Positive
624,Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,61,"142 contributorstranslationsespañolfrançaisελληνικάdeutschnederlandsrun up that hill ( a deal with god ) lyric [ vers 1 ] it doe n't hurt me ( yeah , yeah , yo ) do you wan na feel how it feel ? (...",Feeling : Négative
625,Heat Waves,Glass Animals,Heat Waves,69,"145 contributorstranslationsitalianodeutschfrançaisheat wave lyric [ intro ] ( last night , all i think about is you ) ( do n't stop , babi , you can walk through ) ( do n't want , babi , think ab...",Feeling : Positive
558,Heat Waves,Glass Animals,Dreamland (+ Bonus Levels),74,"145 contributorstranslationsitalianodeutschfrançaisheat wave lyric [ intro ] ( last night , all i think about is you ) ( do n't stop , babi , you can walk through ) ( do n't want , babi , think ab...",Feeling : Positive
684,Riptide,Vance Joy,Dream Your Life Away,85,"146 contributorstranslationsportuguêsespañolriptid lyric [ vers 1 ] i wa scare of dentist and the dark i wa scare of pretti girl and start convers oh , all my friend are turn green you 're the mag...",Feeling : Positive
671,Levitating,Dua Lipa,Levitating EP,35,"147 contributorstranslationstürkçeespañolفارسیdeutschfrançaisnederlandslevit lyric [ vers 1 ] if you wan na run away with me , i know a galaxi and i can take you for a ride i had a premonit that w...",Feeling : Positive
105,Change the World,Eric Clapton,Clapton Chronicles: The Best of Eric Clapton,68,15 contributorschang the world lyric [ vers 1 ] if i could reach the star pull one down for you shine it on my heart so you could see the truth that thi love i have insid is everyth it seem but fo...,Feeling : Positive
351,Here,Tom Grennan,Here,68,"15 contributorsher lyric [ intro ] i 'll , i 'll be here for you i 'll , i 'll be here for you [ vers 1 ] if they 're gon na take you from me they better bring a whole armi you know i 'll fight ba...",Feeling : Négative
500,I Wrote The Book,Morgan Wallen,One Thing At A Time,79,"15 contributorsi wrote the book lyric [ vers 1 ] when it come to hitchin ' the boat up backin ' down the ramp in my old truck to find a bunch of log to catch a bunch of hog yeah , i wrote the book...",Feeling : Positive
125,Jesus to a Child,George Michael,Older,61,15 contributorsjesu to a child lyric [ vers 1 ] kind in your eye i guess you heard me cri you smile at me like jesu to a child i 'm bless i know heaven sent and heaven stole you smile at me like j...,Feeling : Positive
455,One Thing At A Time,Morgan Wallen,One Thing At A Time,82,"15 contributorson thing at a time lyric [ vers 1 ] somebodi hand me a cigarett i know i ai n't had one in over a week somebodi pour me a doubl shot been gettin ' better by the day , but tonight i ...",Feeling : Négative
681,SPACE MAN,Sam Ryder,SPACE MAN,66,"15 contributorsspac man lyric [ vers 1 ] if i wa an astronaut , i 'd be float in mid-air and a broken heart would just belong to someon els down there i would be the center of my lone univers but ...",Feeling : Négative
530,Queen of Kings,Alessandra,Queen of Kings,87,"15 contributorstranslationsсрпскиitalianofrançaisqueen of king lyric [ choru ] she , queen of the king runnin ' so fast , beatin ' the wind nothin ' in thi world could stop the spread of her wing ...",Feeling : Négative
236,Queen of Kings,Alessandra,Queen of Kings,87,"15 contributorstranslationsсрпскиitalianofrançaisqueen of king lyric [ choru ] she , queen of the king runnin ' so fast , beatin ' the wind nothin ' in thi world could stop the spread of her wing ...",Feeling : Négative
743,When the Beat Drops Out,Marlon Roudette,When the Beat Drops Out,46,"15 contributorswhen the beat drop out lyric [ choru ] when the beat drop out and the peopl gone will you still be there , still be there for me child when the light go out and the morn come will y...",Feeling : Négative
780,Photograph,Ed Sheeran,x (Deluxe Edition),87,"159 contributorstranslationsportuguêsελληνικάphotograph lyric [ vers 1 ] love can hurt , love can hurt sometim but it 's the onli thing that i know when it get hard , you know it can get hard some...",Feeling : Positive
670,21 Reasons (feat. Ella Henderson),Nathan Dawe,21 Reasons (feat. Ella Henderson),81,16 contributors21 reason lyric [ vers 1 ] one is you make me happi two is you set me free from all the thing that held me back from just be me thank you for all the sweet now i can final breath no...,Feeling : Positive
413,All By Myself,Alok,All By Myself,79,"16 contributorsal by myself lyric [ vers 1 ] i lost my own belief alway somethin ' breakin ' me , wa overcom walkin ' these lone street even in good compani , i want to run [ pre-choru ] but now i...",Feeling : Positive
535,Baby Don't Hurt Me,David Guetta,Baby Don't Hurt Me,90,16 contributorsbabi don ’ t hurt me lyric [ vers 1 : anne-mari ] i want you for the dirti and clean when you 're wakin ' in your dream when you bite my tongu and make me scream ( and make me screa...,Feeling : Positive
393,Baby Don't Hurt Me,David Guetta,Baby Don't Hurt Me,90,16 contributorsbabi don ’ t hurt me lyric [ vers 1 : anne-mari ] i want you for the dirti and clean when you 're wakin ' in your dream when you bite my tongu and make me scream ( and make me screa...,Feeling : Positive
574,Flip A Switch.,RAYE,My 21st Century Blues,75,"16 contributorsflip a switch . lyric [ intro ] ca n't just let your guard down and fall for someon anymor that 's what stupid girl do yeah , i 've been a stupid girl four day away , in hi arm i in...",Feeling : Négative
95,Have You Ever Really Loved A Woman?,Bryan Adams,18 Til I Die,72,16 contributorshav you ever realli love a woman ? lyric [ vers 1 ] to realli love a woman to understand her - you got ta know her deep insid hear everi thought - see everi dream and give her wing ...,Feeling : Positive
662,IFTK,Tion Wayne,IFTK,70,"16 contributorsiftk lyric [ intro : la roux & tion wayn ] i 'm goin ' in for the kill ( mm-mm ) ( it 's tekki ) i 'm doin ' it for a thrill oh , i 'm hopin ' you 'll understand ( whyjay ) and not ...",Feeling : Négative
710,Stay the Night,Sigala,Stay the Night,72,"16 contributorsstay the night lyric [ choru : talia mar ] stay the night babi , we can bring the music back to life just you and i stay the night even if we both get lost insid the light we 'll be...",Feeling : Neutral
548,Life Goes On,Ed Sheeran,- (Deluxe),77,"16 contributorstranslationsdeutschсрпскиlif goe on lyric [ vers 1 ] it hit like a train , i ran out of word i got noth to say , everyth hurt and i know love lead to pain but memori serv our sweete...",Feeling : Positive
431,un x100to,Grupo Frontera,un x100to,100,16 contributorstranslationsenglishdeutsch​un x100to lyric [ letra de `` un x100to '' ] [ coro : payo solí ] me queda 1 % y lo usaré solo para decirt lo mucho que lo siento que si me ven con otra e...,Feeling : Négative
165,un x100to,Grupo Frontera,un x100to,100,16 contributorstranslationsenglishdeutsch​un x100to lyric [ letra de `` un x100to '' ] [ coro : payo solí ] me queda 1 % y lo usaré solo para decirt lo mucho que lo siento que si me ven con otra e...,Feeling : Négative
234,un x100to,Grupo Frontera,un x100to,100,16 contributorstranslationsenglishdeutsch​un x100to lyric [ letra de `` un x100to '' ] [ coro : payo solí ] me queda 1 % y lo usaré solo para decirt lo mucho que lo siento que si me ven con otra e...,Feeling : Négative
411,un x100to,Grupo Frontera,un x100to,100,16 contributorstranslationsenglishdeutsch​un x100to lyric [ letra de `` un x100to '' ] [ coro : payo solí ] me queda 1 % y lo usaré solo para decirt lo mucho que lo siento que si me ven con otra e...,Feeling : Négative
361,Ella Baila Sola,Eslabon Armado,Ella Baila Sola,99,"16 contributorstranslationsenglishella baila sola lyric [ letra de `` ella baila sola '' ] [ verso 1 : pedro tovar & peso pluma ] mi compa , ¿qué le parec esa morra ? la que anda bailando sola me ...",Feeling : Négative
427,Ella Baila Sola,Eslabon Armado,Ella Baila Sola,99,"16 contributorstranslationsenglishella baila sola lyric [ letra de `` ella baila sola '' ] [ verso 1 : pedro tovar & peso pluma ] mi compa , ¿qué le parec esa morra ? la que anda bailando sola me ...",Feeling : Négative
229,Ella Baila Sola,Eslabon Armado,DESVELADO,90,"16 contributorstranslationsenglishella baila sola lyric [ letra de `` ella baila sola '' ] [ verso 1 : pedro tovar & peso pluma ] mi compa , ¿qué le parec esa morra ? la que anda bailando sola me ...",Feeling : Négative
164,Ella Baila Sola,Eslabon Armado,DESVELADO,90,"16 contributorstranslationsenglishella baila sola lyric [ letra de `` ella baila sola '' ] [ verso 1 : pedro tovar & peso pluma ] mi compa , ¿qué le parec esa morra ? la que anda bailando sola me ...",Feeling : Négative
564,Unicorn,Noa Kirel,Unicorn,81,"16 contributorsunicorn lyric [ vers 1 ] hey , you do n't like the way i 'm talk hey , so you stand there keep on call me name no , i 'm not your enemi so if you 're gon na do it , do n't do it hey...",Feeling : Négative
258,Unicorn,Noa Kirel,Unicorn,81,"16 contributorsunicorn lyric [ vers 1 ] hey , you do n't like the way i 'm talk hey , so you stand there keep on call me name no , i 'm not your enemi so if you 're gon na do it , do n't do it hey...",Feeling : Négative
635,abc (nicer),GAYLE,abc (nicer),61,16 contributors​abc ( nicer ) lyric [ choru ] forget you and your mom and your sister and your job and your broke-down car and the thing you call art forget you and your friend that i 'll never se...,Feeling : Négative
588,hotline (edit),Billie Eilish,hotline (edit),83,16 contributors​​hotlin ( edit ) lyric [ instrument ] [ vers ] ( late night when you need my love ) ( call me on my cell phone ) ( i know when that hotlin bling ) ( that can onli mean one thing ) ...,Feeling : Positive
298,Just Lose It,Eminem,Encore (Deluxe Version),71,"162 contributorsjust lose it lyric [ intro ] down , down , down down , down , down down , down , down down , okay guess who 's back , back again shadi 's back , tell a friend now everyon report to...",Feeling : Positive
686,Watermelon Sugar,Harry Styles,Fine Line,90,163 contributorstranslationsdeutschtürkçeespañolportuguêspolskinorsk ( bokmål / riksmål ) českywatermelon sugar lyric [ vers 1 ] tast like strawberri on a summer evenin ' and it sound just like a ...,Feeling : Positive
699,Woman,Doja Cat,Planet Her,56,"163 contributorstranslationstürkçeespañolportuguêsdeutschfrançaisবাংলাromână日本語woman lyric [ intro ] hey , woman hey , woman [ choru ] woman let me be your woman woman , woman , woman ( ayi ) i ca...",Feeling : Positive
560,Creep,Radiohead,Pablo Honey,87,169 contributorstranslationspolskideutschespañolcreep lyric [ vers 1 ] when you were here befor could n't look you in the eye you 're just like an angel your skin make me cri you float like a feat...,Feeling : Positive
203,Cruel Summer,Taylor Swift,Lover,92,"169 contributorstranslationstürkçeespañolhrvatskiportuguêspolskiitalianomagyardeutschfrançaisفارسیenglishcruel summer lyric [ intro ] ( yeah , yeah , yeah , yeah ) [ vers 1 ] fever dream high in t...",Feeling : Négative
384,Dawns (feat. Maggie Rogers),Zach Bryan,Dawns (feat. Maggie Rogers),79,"17 contributorsdawn lyric [ intro : maggi roger , zach bryan ] mm mm ( ooh ) [ vers 1 : zach bryan ] wake me up when the season 's gone 'caus i 've wast all my dawn on you so what do i do ? oh , w...",Feeling : Négative
678,Ferrari,James Hype,Ferrari,85,"17 contributorsferrari lyric [ vers ] can i be honest ? i still want your hand up on my bodi you still make my heart beat fast , ferrari with me in the wave , but in the mornin ' do you still want...",Feeling : Positive
707,My Heart Goes (La Di Da),Becky Hill,My Heart Goes (La Di Da),73,"17 contributorsmi heart goe ( la di da ) lyric [ intro ] la di da , da di da la di da , da di da la di da , da di da [ vers 1 ] i wo n't wast your high , do n't wast mine , mine if you want my tru...",Feeling : Positive
442,Cupid,FIFTY FIFTY,The Beginning: Cupid,68,"17 contributorstranslationsromanizationportuguêsenglishcupid lyric [ 피프티피프티 `` cupid '' 가사 ] [ intro : aran ] la , la , la , la-la-la la , la-la-la , la , la-la-la [ vers 1 : aran , all ] 불꺼진 roma...",Feeling : Négative
531,Cupid,FIFTY FIFTY,The Beginning: Cupid,68,"17 contributorstranslationsromanizationportuguêsenglishcupid lyric [ 피프티피프티 `` cupid '' 가사 ] [ intro : aran ] la , la , la , la-la-la la , la-la-la , la , la-la-la [ vers 1 : aran , all ] 불꺼진 roma...",Feeling : Négative
369,Meltdown,Niall Horan,Meltdown,82,"17 contributorstranslationstürkçemeltdown lyric [ intro ] when it all melt down , i 'll be there [ vers 1 ] talkin ' to yourself ( yeah ) in the bathroom losin ' your mind in the mirror like you h...",Feeling : Positive
770,Chandelier,Sia,1000 Forms Of Fear,81,"172 contributorstranslationsespañolportuguêsitalianoελληνικάfrançaischandeli lyric [ vers 1 ] parti girl do n't get hurt ca n't feel anyth , when will i learn ? i push it down , push it down i 'm ...",Feeling : Positive
789,FourFiveSeconds,Rihanna,FourFiveSeconds,80,176 contributorstranslationsfrançaisfourfivesecond lyric [ vers 1 : rihanna ] i think i 've had enough i might get a littl drunk i say what 's on my mind i might do a littl time 'caus all of my ki...,Feeling : Positive
735,All of Me,John Legend,Love In The Future (Expanded Edition),86,"179 contributorstranslationsespañolportuguêsελληνικάal of me lyric [ vers 1 ] what would i do without your smart mouth ? draw me in and you kick me out you 've got my head spin , no kid i ca n't p...",Feeling : Positive
786,Can't Feel My Face,The Weeknd,Beauty Behind The Madness,33,179 contributorstranslationstürkçeespañolрусскийportuguêsفارسیpolskideutschcan ’ t feel my face lyric [ produc by max martin ] [ vers 1 ] and i know she 'll be the death of me at least we 'll both...,Feeling : Positive
103,All By Myself,Céline Dion,Falling into You,69,18 contributorsal by myself lyric [ vers 1 ] when i wa young i never need anyon and make love wa just for fun those day are gone livin ' alon i think of all the friend i 've known when i dial the ...,Feeling : Positive
493,Fight The Feeling,Rod Wave,Fight The Feeling,47,"18 contributorsfight the feel lyric [ intro ] look , oh , woah uh , okay [ vers ] women , how 'd you get so good at hide your feel ? pretend , pretend you 're fine when realli you 're bend you ca ...",Feeling : Positive
223,Jericho,Iniko,Jericho,82,"18 contributorsjericho lyric [ vers 1 ] i 'm high i 'm from outer space i got milki way for blood , evolut in my vein i 'm gone i 've been far away , i'mma lumin now , i make move start wave i 've...",Feeling : Positive
370,Rush,Ayra Starr,Rush,82,"18 contributorsrush lyric [ intro ] vibez ta-ta-ri ta-ta-ri-pa , ta-ta-ri ta-ta-ri-pa , ta-ta-ri , pa [ vers 1 ] sabi girl no dey too like talk anim dey in human form padi man , nobodi like work b...",Feeling : Négative
559,Rush,Ayra Starr,Rush,82,"18 contributorsrush lyric [ intro ] vibez ta-ta-ri ta-ta-ri-pa , ta-ta-ri ta-ta-ri-pa , ta-ta-ri , pa [ vers 1 ] sabi girl no dey too like talk anim dey in human form padi man , nobodi like work b...",Feeling : Négative
348,Eyes Wide Shut,ILLENIUM,ILLENIUM,74,"18 contributorstranslationsespañolportuguêsnederlandsey wide shut lyric [ intro ] i say i love you , but i do n't i say i 'm fine , but i 'm miser [ vers 1 ] i 'm dead , but you probabl ca n't tel...",Feeling : Positive
551,Curtains,Ed Sheeran,- (Deluxe),85,"18 contributorstranslationsportuguêscurtain lyric [ intro ] can you pull the curtain ? let me see the sunshin i think i 'm done with my hidin ' place and you found me anyway it 's been forev , but...",Feeling : Positive
517,Curtains,Ed Sheeran,- (Deluxe),85,"18 contributorstranslationsportuguêscurtain lyric [ intro ] can you pull the curtain ? let me see the sunshin i think i 'm done with my hidin ' place and you found me anyway it 's been forev , but...",Feeling : Positive
330,Curtains,Ed Sheeran,- (Deluxe),85,"18 contributorstranslationsportuguêscurtain lyric [ intro ] can you pull the curtain ? let me see the sunshin i think i 'm done with my hidin ' place and you found me anyway it 's been forev , but...",Feeling : Positive
626,Where Are You Now,Lost Frequencies,Where Are You Now,87,18 contributorswher are you now lyric [ intro : calum scott ] you 're just like my favorit song go 'round and 'round my head like my favorit song go 'round and 'round my head [ vers 1 : calum scot...,Feeling : Positive
695,Sweater Weather,The Neighbourhood,I Love You.,72,180 contributorstranslationstürkçeportuguêsdanskрусскийportuguêsfrançaissweat weather lyric [ vers 1 ] and all i am is a man i want the world in my hand i hate the beach but i stand in california ...,Feeling : Positive
435,Anti-Hero,Taylor Swift,Midnights (3am Edition),77,184 contributorstranslationsportuguêsespañoltürkçefrançais中文nederlandsdeutschไทย / phasa thaiitalianosvenskaукраїнськасрпскиbahasa indonesiaanti-hero lyric [ vers 1 ] i have thi thing where i get ...,Feeling : Négative
412,Anti-Hero,Taylor Swift,Midnights,94,184 contributorstranslationsportuguêsespañoltürkçefrançais中文nederlandsdeutschไทย / phasa thaiitalianosvenskaукраїнськасрпскиbahasa indonesiaanti-hero lyric [ vers 1 ] i have thi thing where i get ...,Feeling : Négative
674,Anti-Hero,Taylor Swift,Midnights,54,184 contributorstranslationsportuguêsespañoltürkçefrançais中文nederlandsdeutschไทย / phasa thaiitalianosvenskaукраїнськасрпскиbahasa indonesiaanti-hero lyric [ vers 1 ] i have thi thing where i get ...,Feeling : Négative
185,Anti-Hero,Taylor Swift,Midnights,94,184 contributorstranslationsportuguêsespañoltürkçefrançais中文nederlandsdeutschไทย / phasa thaiitalianosvenskaукраїнськасрпскиbahasa indonesiaanti-hero lyric [ vers 1 ] i have thi thing where i get ...,Feeling : Négative
547,Anti-Hero,Taylor Swift,Midnights,94,184 contributorstranslationsportuguêsespañoltürkçefrançais中文nederlandsdeutschไทย / phasa thaiitalianosvenskaукраїнськасрпскиbahasa indonesiaanti-hero lyric [ vers 1 ] i have thi thing where i get ...,Feeling : Négative
679,505,Arctic Monkeys,Favourite Worst Nightmare,87,"184 contributorstranslationstürkçeespañolрусскийitalianofrançaisportuguêsdeutsch505 lyric [ choru ] i 'm go back to 505 if it 's a seven-hour flight or a forty-five-minut drive in my imagin , you ...",Feeling : Positive
114,Burden In My Hand,Soundgarden,Down On The Upside,65,"19 contributorsburden in my hand lyric [ vers 1 ] follow me into the desert , as thirsti as you are crack a smile and cut your mouth and drown in alcohol 'caus down below the truth is lie beneath ...",Feeling : Positive
104,If You Could Only See,Tonic,Lemon Parade,68,19 contributorsif you could onli see lyric [ choru ] if you could onli see the way she love me then mayb you would understand whi i feel thi way about our love and what i must do if you could onli...,Feeling : Positive
120,Lady,D'Angelo,Brown Sugar,62,"19 contributorsladi lyric [ choru ] you 're my ladi you 're my ladi you 're my ladi ( my , oh , babi ) you 're my ladi ( yeah ) [ vers 1 ] do n't think i do n't see them lookin ' at ya all of 'em ...",Feeling : Positive
55,Morning Has Broken,Yusuf / Cat Stevens,Teaser and the Firecat (Deluxe Edition),0,"19 contributorsmorn ha broken lyricsmorn ha broken like the first morn blackbird ha spoken like the first bird prais for the sing , prais for the morn prais for them spring fresh from the word swe...",Feeling : Positive
83,Freed From Desire,Gala,Come Into My Life (The Album),80,"19 contributorstranslationsfrançaisfre from desir lyric [ vers ] my love ha got no money , he 's got hi strong belief my love ha got no power , he 's got hi strong belief my love ha got no fame , ...",Feeling : Positive
336,How I'm Feeling Now,Lewis Capaldi,How I'm Feeling Now,75,"19 contributorstranslationsportuguêshow i ’ m feel now lyric [ vers 1 ] will you forgiv me if i 'm comin ' off a littl bit obtus ? well , it 's been a minut now sinc i have had to tell the truth i...",Feeling : Positive
331,Wish You The Best,Lewis Capaldi,Wish You The Best,87,"19 contributorstranslationsportuguêswish you the best lyric [ vers 1 ] i miss know what you 're think and hear how your day ha been do you think you could tell me everyth , darl ? but leav out eve...",Feeling : Positive
525,Wish You The Best,Lewis Capaldi,Wish You The Best,87,"19 contributorstranslationsportuguêswish you the best lyric [ vers 1 ] i miss know what you 're think and hear how your day ha been do you think you could tell me everyth , darl ? but leav out eve...",Feeling : Positive
541,If We Ever Broke Up,Mae Stephens,If We Ever Broke Up,88,"19 contributorstranslationstürkçeif we ever broke up lyric [ vers 1 ] if you keep wonder if somebodi understand darl , i do n't understand you if you stay awak at night wait for somebodi right bab...",Feeling : Négative
406,If We Ever Broke Up,Mae Stephens,If We Ever Broke Up,88,"19 contributorstranslationstürkçeif we ever broke up lyric [ vers 1 ] if you keep wonder if somebodi understand darl , i do n't understand you if you stay awak at night wait for somebodi right bab...",Feeling : Négative
133,When You're Gone,The Cranberries,To The Faithful Departed,58,"19 contributorswhen you ’ re gone lyric [ intro ] do-be-da , do-be-da do-be-da , do-be-da do-be-da , do-be-da do-be-da , do-be-da do-be-da , do-be-da do-be-da , do-be-da do-be-da , do-be-da do-be-...",Feeling : Négative
419,saddest soundtrack,iann dior,saddest soundtrack,54,"19 contributors​​​​saddest soundtrack lyric [ vers 1 ] i'ma take your smile and turn it upsid down i'ma take the sun and cover it in cloud i still hear your voic in my head , it 's loud i 'll turn...",Feeling : Négative
794,Thinking out Loud,Ed Sheeran,x (Deluxe Edition),85,192 contributorstranslationstürkçeespañolportuguêsitalianoελληνικάfrançaisthink out loud lyric [ vers 1 ] when your leg do n't work like they use to befor and i ca n't sweep you off of your feet w...,Feeling : Positive
795,Sorry,Justin Bieber,Purpose (Deluxe),83,"194 contributorstranslationsespañolportuguêsfrançaissorri lyric [ written by julia michael , justin tranter , and justin bieber ] [ vers 1 ] you got ta go and get angri at all of my honesti you kn...",Feeling : Positive
790,Are You With Me - Radio Edit,Lost Frequencies,Are You With Me (Radio Edit),44,2 contributorsar you with me ? ( radio edit ) lyric [ choru ] i wan na danc by water 'neath the mexican sky drink some margarita by a string of blue light listen to the mariachi play at midnight a...,Feeling : Positive
255,Canın Sağ Olsun,Semicenk,Canın Sağ Olsun,81,"2 contributorscanın sağ olsun lyric [ `` canın sağ olsun '' için şarkı sözleri ] [ nakarat : rast ] canın sağ olsun , canın sağ olsun ben çekerim kader sağ olsun , kader sağ olsun ben giderim canı...",Feeling : Positive
36,Crazy - Single Version,Patsy Cline,Showcase,0,2 contributorscrazi ( singl version ) lyricscrazi i 'm crazi for feel so lone i 'm crazi crazi for feel so blue i knew you 'd love me as long as you want and then some day you 'd leav me for someb...,Feeling : Positive
711,Don't Stop Me Now - Remastered 2011,Queen,Jazz (2011 Remaster),84,"2 contributorsdon ’ t stop me now ( remast 2011 ) lyricstonight i 'm gon na have myself a real good time i feel aliv and the world , i 'll turn it insid out , yeah i 'm float around in ecstasi so ...",Feeling : Positive
210,El Gordo Trae El Mando,Chino Pacas,El Gordo Trae El Mando,92,"2 contributorsel gordo trae el mando lyric [ letra de `` el gordo trae el mando '' ] [ verso 1 ] y por todo el bulevar con mi compa flaco arremangando uno huarach , mi gorra de lado por la zapata ...",Feeling : Négative
534,Giving Me,Jazzy,Giving Me,77,"2 contributorsgiv me lyric [ intro ] mm mm yeah-yeah ooh-ooh [ choru ] i blame you for all the hurt and all the pain all the sunshin and the rain ( stay ) thi feel that i know , you 're give me no...",Feeling : Positive
240,Giving Me,Jazzy,Giving Me,77,"2 contributorsgiv me lyric [ intro ] mm mm yeah-yeah ooh-ooh [ choru ] i blame you for all the hurt and all the pain all the sunshin and the rain ( stay ) thi feel that i know , you 're give me no...",Feeling : Positive
395,Giving Up On That,Dalton Dover,Giving Up On That,72,2 contributorsgiv up on that lyric [ vers 1 ] i hate you met the sinner lord know i ai n't no saint but i 'm tri to lean a littl more that way these day you put up with more than i ever would 've ...,Feeling : Positive
222,Keep Dat Nigga,Icandy,Keep Dat Nigga,78,"2 contributorskeep dat nigga lyric [ intro ] bring me a seagram , girl ayi [ choru ] bitch , i 'm back and my ass got bigger ( fat ) pretti face and a real nice figur ( uh ) shoot your shot , nigg...",Feeling : Négative
762,Locked Away (feat. Adam Levine),R. City,Locked Away (feat. Adam Levine),64,2 contributorsnew music friday 07/10/15 lyricsjack garratt - weather year & year - tie cheat code - do n't say no feat . dress demi lovato - cool for the summer futur - real sister eminem - king n...,Feeling : Positive
775,Marvin Gaye (feat. Meghan Trainor),Charlie Puth,Marvin Gaye (feat. Meghan Trainor),45,"2 contributorsnew music friday 08/28/15 lyricsjustin bieber - what do you mean ? the weeknd - real life macklemor & ryan lewi - downtown feat . eric nalli , mell mel , kool moe dee and grandmast c...",Feeling : Négative
722,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,This Unruly Mess I've Made,69,"2 contributorsnew music friday 08/28/15 lyricsjustin bieber - what do you mean ? the weeknd - real life macklemor & ryan lewi - downtown feat . eric nalli , mell mel , kool moe dee and grandmast c...",Feeling : Négative
731,Outside (feat. Ellie Goulding),Calvin Harris,Motion,83,"2 contributorsnew music tuesday 04/14/15 lyricsrihanna - american oxygen joywav - now snoop dogg - so mani pro tyler , the creator - deathcamp zedd feat . bahari - addict to a memori brandon flowe...",Feeling : Positive
744,Intoxicated - Radio Edit,Martin Solveig,Intoxicated (Radio Edit),58,2 contributorsnew music tuesday 04/28/15 lyricsrefus - elektra zac brown band feat . chri cornel - heavi is the head taio cruz - do what you like brandon flower - lone town the game feat . dej loa...,Feeling : Négative
499,Que Vuelvas,Carin Leon,Que Vuelvas,91,2 contributorsqu vuelva lyric [ letra de “ que vuelva ” ] [ verso 1 : adelaido “ payo ” solí ] te escribo mensaj toda la noch pero lo borro pa ' quedar en visto ese mal rato mejor me lo ahorro [ p...,Feeling : Positive
159,That Girl,Maxi Priest,Man With The Fun,50,2 contributorsthat girl lyricsth girl ha got the touch what she got is a littl someth that kind of girl maxi priest just make them know she 's the kind of woman who let you know when she know what...,Feeling : Positive
285,Homicide (feat. Eminem),Logic,Confessions of a Dangerous Mind,74,2 contributorsthi is logic lyrics1 . logic- no pressur intro 2. logic- hit my line 3. logic- gp4 4. logic- celebr 5. logic- open mic//aqauriu iii 6. logic- soul food ii 7. logic- perfect 8. logic-...,Feeling : Positive
405,We Ride,Bryan Martin,We Ride,70,"2 contributorsw ride lyric [ choru ] well , i 've been known to write a few song lovin ' and leavin ' and gettin ' too stone bottl and a pistol by my side the devil 's alway along for the ride [ v...",Feeling : Négative
634,Where Did You Go? (feat. MNEK),Jax Jones,Where Did You Go (feat. MNEK),80,"2 contributorswher did you go ? ( mix ) lyric [ choru ] love , where did you go ? where did you go now ? i wan na know with all my love , where did you go now ? where did you go now ? i wan na kno...",Feeling : Positive
64,White Christmas,Bing Crosby,White Christmas,0,2 contributorswhit christma lyricsi 'm dream of a white christma just like the one i use to know where the treetop glisten and children listen to hear sleigh bell in the snow i 'm dream of a white...,Feeling : Positive
422,Never Gonna Not Dance Again,P!nk,TRUSTFALL,74,"20 contributorstranslationsitalianonev gon na not danc again lyric [ vers 1 ] if someon told me that the world would end tonight you could take all that i got , for onc i would n't start a fight (...",Feeling : Négative
192,Like Crazy,Jimin,FACE,93,20 contributorstranslationsromanizationenglishespañoldeutschрусскийportuguêslik crazi lyric [ 지민 `` like crazi '' 가사 ] [ intro ] ( i think we could last forev i 'm afraid that everyth will disappe...,Feeling : Positive
387,Like Crazy,Jimin,FACE,93,20 contributorstranslationsromanizationenglishespañoldeutschрусскийportuguêslik crazi lyric [ 지민 `` like crazi '' 가사 ] [ intro ] ( i think we could last forev i 'm afraid that everyth will disappe...,Feeling : Positive
113,You Were Meant For Me,Jewel,Pieces Of You,65,"20 contributorsy were meant for me lyric [ vers 1 ] i hear the clock , it 's six a.m i feel so far from where i 've been i got my egg , i got my pancak too i got my mapl syrup , everyth but you i ...",Feeling : Positive
89,They Don't Care About Us,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",74,"201 contributorsthey don ’ t care about us lyric [ intro ] all i want to say is that they do n't realli care about us ( do n't worri what peopl say , we know the truth ) all i want to say is that ...",Feeling : Positive
640,Easy On Me,Adele,Easy On Me,84,206 contributorstranslationstürkçeไทย / phasa thaisvenskaespañolhrvatskiрусскийportuguês한국어日本語italianomagyarελληνικάdeutschfrançaisفارسیpolskitagalog / ᜆᜄᜎᜓᜄ᜔easi on me lyric [ vers 1 ] there ai n...,Feeling : Positive
450,As It Was,Harry Styles,As It Was,92,"208 contributorstranslationstürkçeespañolportuguês日本語italianoελληνικάdeutschfrançaisenglishenglishnederlandsshqippolski한국어a it wa lyric [ intro ] come on , harri , we wan na say goodnight to you [...",Feeling : Positive
532,As It Was,Harry Styles,As It Was,92,"208 contributorstranslationstürkçeespañolportuguês日本語italianoελληνικάdeutschfrançaisenglishenglishnederlandsshqippolski한국어a it wa lyric [ intro ] come on , harri , we wan na say goodnight to you [...",Feeling : Positive
